hyperparameters,recognition_rate
"['intersect', 'grayvalue', 5]",0.3595505617977528
"['intersect', 'grayvalue', 10]",0.43820224719101125
"['intersect', 'grayvalue', 20]",0.3707865168539326
"['intersect', 'grayvalue', 50]",0.42696629213483145
"['intersect', 'rgb', 5]",0.7865168539325843
"['intersect', 'rgb', 10]",0.8202247191011236
"['intersect', 'rgb', 20]",0.8314606741573034
"['intersect', 'rgb', 50]",0.7528089887640449
"['intersect', 'rg', 5]",0.7078651685393258
"['intersect', 'rg', 10]",0.7191011235955056
"['intersect', 'rg', 20]",0.7752808988764045
"['intersect', 'rg', 50]",0.6966292134831461
"['intersect', 'dxdy', 5]",0.11235955056179775
"['intersect', 'dxdy', 10]",0.12359550561797752
"['intersect', 'dxdy', 20]",0.0898876404494382
"['intersect', 'dxdy', 50]",0.10112359550561797
"['chi2', 'grayvalue', 5]",1.0
"['chi2', 'grayvalue', 10]",1.0
"['chi2', 'grayvalue', 20]",1.0
"['chi2', 'grayvalue', 50]",1.0
"['chi2', 'rgb', 5]",1.0
"['chi2', 'rgb', 10]",1.0
"['chi2', 'rgb', 20]",1.0
"['chi2', 'rgb', 50]",1.0
"['chi2', 'rg', 5]",1.0
"['chi2', 'rg', 10]",1.0
"['chi2', 'rg', 20]",1.0
"['chi2', 'rg', 50]",1.0
"['chi2', 'dxdy', 5]",1.0
"['chi2', 'dxdy', 10]",1.0
"['chi2', 'dxdy', 20]",1.0
"['chi2', 'dxdy', 50]",1.0
"['l2', 'grayvalue', 5]",0.3707865168539326
"['l2', 'grayvalue', 10]",0.4044943820224719
"['l2', 'grayvalue', 20]",0.24719101123595505
"['l2', 'grayvalue', 50]",0.3258426966292135
"['l2', 'rgb', 5]",0.6404494382022472
"['l2', 'rgb', 10]",0.5730337078651685
"['l2', 'rgb', 20]",0.47191011235955055
"['l2', 'rgb', 50]",0.3146067415730337
"['l2', 'rg', 5]",0.5955056179775281
"['l2', 'rg', 10]",0.5842696629213483
"['l2', 'rg', 20]",0.5168539325842697
"['l2', 'rg', 50]",0.3146067415730337
"['l2', 'dxdy', 5]",0.10112359550561797
"['l2', 'dxdy', 10]",0.11235955056179775
"['l2', 'dxdy', 20]",0.11235955056179775
"['l2', 'dxdy', 50]",0.07865168539325842
